//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	1000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Devil Square Ticket (1 UN)
1000	1001	10000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Devil Square Ticket (10 UN)
1010	1010	1000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Blood Castle Ticket (1 UN)
1010	1011	10000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Blood Castle Ticket (10 UN)
1020	1020	1000	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Kalima Ticket (1 UN)
1020	1021	10000	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Kalima Ticket (10 UN)
1030	1030	1000	6717	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Illusion Temple Ticket (1 UN)
1030	1031	10000	6717	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Illusion Temple Ticket (10 UN)
1050	1050	1000	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Magic Backpack (1 UN)
1060	1060	500	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Spirit of Guardian (1 Days)
1060	1061	2500	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Spirit of Guardian (7 Days)
1060	1062	5000	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Spirit of Guardian (30 Days)
1070	1070	500	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Unicorn (1 Days)
1070	1071	2999	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Unicorn (7 Days)
1070	1072	5000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Unicorn (30 Days)
1080	1080	500	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Demon (1 Days)
1080	1081	2500	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Demon (7 Days)
1080	1082	5000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Demon (30 Days)
1090	1090	1000	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Vault Expansion Certificate (1 UN)
1100	1100	200	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Luck (1 UN)
1110	1110	500	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	43200	// Scroll of Health (12 Hours)
1120	1120	500	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	43200	// Scroll of Mana (12 Hours)
1130	1130	500	7280	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Silver Key (1 UN)
1140	1140	1000	7281	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Gold Key (1 UN)
1160	1160	200	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Imp (1 Days)
1160	1161	1000	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Imp (7 Days)
1160	1162	2000	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Imp (30 Days)
end
