//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	1000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Devil Square Ticket (1 UN)
1010	1010	1000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Blood Castle Ticket (1 UN)
1020	1020	1000	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Kalima Ticket (1 UN)
1030	1030	1000	6717	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Illusion Temple Ticket (1 UN)
1040	1040	1500	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Skeleton (1 Days)
1040	1041	10000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Pet Skeleton (15 Days)
1040	1042	20000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Skeleton (30 Days)
1050	1050	1000	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Magic Backpack (1 UN)
1060	1060	500	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Spirit of Guardian (1 Days)
1060	1061	3000	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Spirit of Guardian (7 Days)
1060	1062	10000	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Spirit of Guardian (30 Days)
1070	1070	500	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Unicorn (1 Days)
1070	1071	3000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Unicorn (7 Days)
1070	1072	10000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Unicorn (30 Days)
1080	1080	500	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Demon (1 Days)
1080	1081	3000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Demon (7 Days)
1080	1082	10000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Demon (30 Days)
1090	1090	1000	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Vault Expansion Certificate (1 UN)
1100	1100	200	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Talisman of Luck (1 UN)
1110	1110	500	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Health (24 Hours)
1120	1120	500	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Mana (24 Hours)
1130	1130	500	7280	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Silver Key (1 UN)
1140	1140	1000	7281	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Gold Key (1 UN)
1150	1150	1500	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Skeleton Transformation Ring (1 Days)
1150	1151	10000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Skeleton Transformation Ring (15 Days)
1150	1152	20000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Skeleton Transformation Ring (30 Days)
1160	1160	1000	7270	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Gaions Order (1 UN)
1170	1170	1000	7279	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mirror of Dimensions (1 UN)
1180	1180	2500	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Panda (1 Days)
1180	1181	15000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Pet Panda (15 Days)
1180	1182	30000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Panda (30 Days)
1210	1210	1000	6694	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Moonstone Pendant (1 UN)
end
